window_start,k_mgl,mg_mgl,no3,ca,nh4,site
1987-12-08,0.7106666666666667,2.306,162.5,3.248,30.823529411764703,Q3
1988-02-09,0.5833333333333334,2.7488888888888887,194.77777777777777,3.462222222222222,22.444444444444443,Q3
1988-04-12,0.658,2.3890000000000002,198.6,2.8810000000000002,46.2,Q3
1988-06-14,0.677,2.584,NA,2.896,28,Q3
1988-08-16,0.5984615384615385,2.1923076923076925,140.85714285714286,2.786153846153846,42.2,Q3
1988-10-18,0.7075,2.6574999999999998,184,3.7885714285714287,57,Q3
1988-12-20,0.7922222222222223,2.761111111111111,188.88888888888889,3.87,NA,Q3
1989-02-21,0.6988888888888889,2.716666666666667,158.22222222222223,3.668888888888889,NA,Q3
1989-04-25,0.7544444444444445,2.9,145.22222222222223,4.1755555555555555,NA,Q3
1989-06-27,0.8044444444444444,2.626666666666667,111.22222222222223,3.4266666666666667,NA,Q3
1989-08-29,1.031,2.676,176.5,3.638,NA,Q3
1989-10-31,1.489,3.586,424.5,4.354,NA,Q3
1990-01-02,1.4577777777777778,3.61,262.375,5.15,NA,Q3
1990-03-06,1.406153846153846,2.644615384615385,380.25,3.683076923076923,NA,Q3
1990-05-08,1.304,3.278,308,4.443,NA,Q3
1990-07-10,1.0666666666666667,3.4144444444444444,187.375,5.423333333333333,NA,Q3
1990-09-11,0.9577777777777777,3.2544444444444447,114.55555555555556,5.295555555555556,NA,Q3
1990-11-13,0.9927272727272728,2.8363636363636364,197.5,4.458181818181818,NA,Q3
1991-01-15,0.7888888888888889,3.8155555555555556,154.28571428571428,4.995555555555556,NA,Q3
1991-03-19,0.8233333333333334,3.187777777777778,82.125,4.322222222222222,NA,Q3
1991-05-21,0.929,3.391,87.25,4.38,NA,Q3
1991-07-23,0.98,3.269,107.1,4.54,NA,Q3
1991-09-24,0.8916666666666667,3.0091666666666668,147.91666666666666,4.235833333333333,NA,Q3
1991-11-26,0.9144444444444445,3.0955555555555554,216.77777777777777,4.552222222222222,NA,Q3
1992-01-28,1.159,3.3930000000000002,167.11111111111111,5.371,NA,Q3
1992-03-31,0.9644444444444444,3.088888888888889,80,5.408888888888889,NA,Q3
1992-06-02,0.9077777777777778,2.8355555555555556,74.11111111111111,4.177777777777778,NA,Q3
1992-08-04,1.1233333333333333,2.918888888888889,49.66666666666667,4.372222222222223,NA,Q3
1992-10-06,0.9655555555555556,3.2311111111111113,51.111111111111114,4.5488888888888885,NA,Q3
1992-12-08,0.9722222222222222,3.358888888888889,22,4.488888888888889,NA,Q3
1993-02-09,0.8233333333333334,3.256666666666667,129.5,4.522222222222222,NA,Q3
1993-04-13,0.8624999999999999,3.265,119.75,3.9675,NA,Q3
1993-06-15,0.8088888888888889,2.891111111111111,65.4,4.6066666666666665,NA,Q3
1993-08-17,0.8633333333333334,3.39625,94.75,4.736666666666666,NA,Q3
1993-10-19,0.8366666666666667,3.013333333333333,22.25,4.5344444444444445,NA,Q3
1993-12-21,0.8077777777777778,2.6155555555555554,16,4.054444444444444,NA,Q3
1994-02-22,0.9011111111111111,3.312222222222222,55.66666666666667,4.912222222222222,NA,Q3
1994-04-26,0.8555555555555555,3.5833333333333335,17.11111111111111,5.291111111111111,NA,Q3
1994-06-28,0.888,3.54,97.75,5,NA,Q3
1994-08-30,0.8577777777777778,3.3277777777777775,NA,4.845555555555555,NA,Q3
1994-11-01,0.8477777777777777,3.082222222222222,NA,4.412222222222222,NA,Q3
1986-05-20,NA,NA,NA,NA,NA,MPR
1986-07-22,NA,NA,NA,NA,NA,MPR
1986-09-23,NA,NA,NA,NA,NA,MPR
1986-11-25,NA,NA,NA,NA,NA,MPR
1987-01-27,NA,NA,NA,NA,NA,MPR
1987-03-31,NA,NA,NA,NA,NA,MPR
1987-06-02,NA,NA,NA,NA,NA,MPR
1987-08-04,NA,NA,NA,NA,NA,MPR
1987-10-06,NA,NA,NA,NA,NA,MPR
1987-12-08,NA,NA,NA,NA,NA,MPR
1988-02-09,NA,NA,NA,NA,NA,MPR
1988-04-12,NA,NA,NA,NA,NA,MPR
1988-06-14,NA,NA,NA,NA,NA,MPR
1988-08-16,NA,NA,NA,NA,NA,MPR
1988-10-18,NA,NA,NA,NA,NA,MPR
1988-12-20,NA,NA,NA,NA,NA,MPR
1989-02-21,NA,NA,NA,NA,NA,MPR
1989-04-25,0.6816666666666666,1.9433333333333334,73.83333333333333,6.568333333333333,NA,MPR
1989-06-27,0.69375,1.75375,67.42857142857143,6.6,NA,MPR
1989-08-29,0.87,2.17,95.2,6.04,NA,MPR
1989-10-31,0.8814285714285715,2.5083333333333333,221.14285714285717,8.496666666666666,NA,MPR
1990-01-02,1.1322222222222222,2.22,172,9.39375,NA,MPR
1990-03-06,1.0322222222222222,2.0611111111111113,180.55555555555554,8.338888888888889,NA,MPR
1990-05-08,0.9777777777777777,2.0944444444444446,175.11111111111111,8.975555555555555,NA,MPR
1990-07-10,0.8744444444444445,2.0677777777777777,152.22222222222223,9.076666666666666,NA,MPR
1990-09-11,0.8011111111111111,1.96,107,8.11,NA,MPR
1990-11-13,0.7277777777777777,1.98,152.375,7.78,NA,MPR
1991-01-15,0.8411111111111111,2.148888888888889,127.28571428571429,7.403333333333333,NA,MPR
1991-03-19,0.735,1.4075,71.5,4.887142857142857,NA,MPR
1991-05-21,0.8200000000000001,0.9271428571428572,63,5.034,NA,MPR
1991-07-23,0.8222222222222223,2.681111111111111,52.142857142857146,8.598888888888888,NA,MPR
1991-09-24,0.72,2.09875,124,7.154999999999999,NA,MPR
1991-11-26,0.71,1.8522222222222222,119.44444444444444,7.178888888888889,NA,MPR
1992-01-28,0.9711111111111111,2.178888888888889,123.875,10.386666666666667,NA,MPR
1992-03-31,0.8444444444444444,2.7222222222222223,63.875,7.913749999999999,NA,MPR
1992-06-02,0.7966666666666666,1.961111111111111,38.111111111111114,7.605555555555556,NA,MPR
1992-08-04,0.8288888888888889,2.1733333333333333,45.22222222222222,8.617777777777778,NA,MPR
1992-10-06,0.7622222222222222,2.013333333333333,49.625,8.262222222222222,NA,MPR
1992-12-08,0.67125,1.89375,16.5,7.6274999999999995,NA,MPR
1993-02-09,0.7611111111111111,2.1966666666666668,91.66666666666667,8.618888888888888,NA,MPR
1993-04-13,0.84,2.013333333333333,52.125,7.963333333333333,NA,MPR
1993-06-15,0.76625,2.05375,57,8.865,NA,MPR
1993-08-17,0.8,2.068888888888889,50.25,8.374444444444444,NA,MPR
1993-10-19,0.72,2.0077777777777777,35.75,7.707777777777777,NA,MPR
1993-12-21,0.5,1.3522222222222222,13,6.5525,NA,MPR
1994-02-22,0.7233333333333334,2.1,7,9.082222222222223,NA,MPR
1994-04-26,0.86,2.3177777777777777,19.11111111111111,9.436666666666667,NA,MPR
1994-06-28,0.7944444444444444,2.3644444444444446,72,8.825555555555555,NA,MPR
1994-08-30,0.8522222222222222,2.1222222222222222,NA,9.213333333333333,NA,MPR
1994-11-01,0.7133333333333334,2.0877777777777777,43,7.992222222222222,NA,MPR
